gain	19	1	-100.64
gain	1	20	-82.70
gain	20	1	-83.82
gain	1	21	-70.17
gain	21	1	-83.31
gain	1	22	-83.81
gain	22	1	-82.89
gain	1	23	-81.76
gain	23	1	-86.16
gain	1	24	-90.71
gain	24	1	-94.87
gain	1	25	-95.51
gain	25	1	-95.45
gain	1	26	-99.65
gain	26	1	-95.12
gain	1	27	-96.72
gain	27	1	-100.54
gain	1	28	-93.86
gain	28	1	-98.54
gain	1	29	-99.93
gain	29	1	-100.47
gain	1	30	-88.44
gain	30	1	-92.00
gain	1	31	-88.45
gain	31	1	-86.75
gain	1	32	-89.75
gain	32	1	-88.48
gain	1	33	-92.50
gain	33	1	-93.36
gain	1	34	-85.42
gain	34	1	-95.88
gain	1	35	-94.15
gain	35	1	-94.24
gain	1	36	-96.27
gain	36	1	-95.47
gain	1	37	-100.32
gain	37	1	-102.47
gain	1	38	-103.13
gain	38	1	-102.84
gain	1	39	-101.35
gain	39	1	-104.33
gain	1	40	-85.15
gain	40	1	-92.33
gain	1	41	-91.15
gain	41	1	-91.30
gain	1	42	-90.39
gain	42	1	-91.63
gain	1	43	-93.07
gain	43	1	-94.75
gain	1	44	-95.99
gain	44	1	-99.89
gain	1	45	-91.68
gain	45	1	-96.94
gain	1	46	-101.24
gain	46	1	-98.88
gain	1	47	-101.43
gain	47	1	-95.54
gain	1	48	-95.92
gain	48	1	-102.10
gain	1	49	-97.44
gain	49	1	-105.51
gain	1	50	-89.60
gain	50	1	-92.83
gain	1	51	-92.46
gain	51	1	-95.96
gain	1	52	-93.81
gain	52	1	-92.43
gain	1	53	-91.95
gain	53	1	-94.40
gain	1	54	-93.18
gain	54	1	-95.38
gain	1	55	-97.55
gain	55	1	-93.68
gain	1	56	-95.62
gain	56	1	-99.81
gain	1	57	-99.82
gain	57	1	-105.02
gain	1	58	-96.86
gain	58	1	-101.43
gain	1	59	-110.25
gain	59	1	-105.42
gain	1	60	-96.66
gain	60	1	-96.25
gain	1	61	-101.61
gain	61	1	-91.31
gain	1	62	-85.15
gain	62	1	-103.36
gain	1	63	-91.13
gain	63	1	-98.88
gain	1	64	-98.29
gain	64	1	-104.24
gain	1	65	-100.43
gain	65	1	-102.10
gain	1	66	-99.66
gain	66	1	-104.43
gain	1	67	-103.65
gain	67	1	-107.00
gain	1	68	-102.73
gain	68	1	-104.27
gain	1	69	-100.66
gain	69	1	-102.34
gain	1	70	-96.28
gain	70	1	-98.38
gain	1	71	-99.83
gain	71	1	-97.30
gain	1	72	-100.77
gain	72	1	-103.56
gain	1	73	-96.45
gain	73	1	-97.24
gain	1	74	-101.16
gain	74	1	-100.21
gain	1	75	-99.55
gain	75	1	-105.10
gain	1	76	-100.40
gain	76	1	-104.37
gain	1	77	-101.11
gain	77	1	-109.90
gain	1	78	-106.66
gain	78	1	-107.04
gain	1	79	-102.38
gain	79	1	-104.35
gain	1	80	-99.72
gain	80	1	-103.54
